doc_id,title,text,source
0001,Reembolso: Qual o prazo para solicitar reembolso?,"**Pergunta:** Qual o prazo para solicitar reembolso?

**Resposta:** Você pode solicitar reembolso em até 7 dias corridos após a primeira compra (compras online). Após esse prazo, avaliamos conforme o tipo de plano e uso do serviço.",financeiro
0002,Cancelamento: O que acontece após o cancelamento?,"**Pergunta:** O que acontece após o cancelamento?

**Resposta:** Você mantém acesso até o fim do ciclo vigente. Depois disso, a conta entra em modo somente-leitura por 30 dias para exportação.",financeiro
0003,LGPD: Como solicitar exclusão dos meus dados?,"**Pergunta:** Como solicitar exclusão dos meus dados?

**Resposta:** Você pode solicitar exclusão via canal de privacidade. Confirmaremos a identidade do solicitante e responderemos nos prazos legais, mantendo apenas o que for obrigatório por lei.",lgpd
0004,Suporte: Qual é o tempo de resposta do suporte (SLA)?,"**Pergunta:** Qual é o tempo de resposta do suporte (SLA)?

**Resposta:** O SLA varia por plano. Padrão: até 1 dia útil. Prioritário: até 4 horas úteis para incidentes críticos, em planos elegíveis.",suporte
1,Conta e Dados: Como exportar meus dados?,"**Pergunta:** Como exportar meus dados?

**Resposta:** Você pode exportar dados em formatos comuns (CSV/JSON) pelo painel, quando o recurso estiver habilitado.",produto
2,Integrações: Há API pública?,"**Pergunta:** Há API pública?

**Resposta:** Webhooks podem ser configurados no painel de integrações, definindo eventos e URL de destino.",produto
3,Faturas e Nota Fiscal: Onde encontro minhas faturas?,"**Pergunta:** Onde encontro minhas faturas?

**Resposta:** As faturas ficam disponíveis no painel em Conta → Faturas. Você pode baixar em PDF a qualquer momento.",financeiro
4,Conta e Dados: Como exportar meus dados?,"**Pergunta:** Como exportar meus dados?

**Resposta:** Admins podem gerenciar usuários, permissões e acessos em Conta → Usuários e Permissões.",produto
5,Reembolso: Como funciona a política de reembolso?,"**Pergunta:** Como funciona a política de reembolso?

**Resposta:** Você pode solicitar reembolso em até 7 dias corridos após a primeira compra, conforme o Código de Defesa do Consumidor para compras online. Após esse prazo, avaliamos caso a caso conforme o tipo de plano e o uso do serviço.",financeiro
6,Faturas e Nota Fiscal: Onde encontro minhas faturas?,"**Pergunta:** Onde encontro minhas faturas?

**Resposta:** As faturas ficam disponíveis no painel em Conta → Faturas. Você pode baixar em PDF a qualquer momento.",financeiro
7,Suporte e SLA: Qual é o tempo de resposta do suporte (SLA)?,"**Pergunta:** Qual é o tempo de resposta do suporte (SLA)?

**Resposta:** Suporte prioritário está disponível em planos avançados ou como adicional para empresas.",suporte
8,Faturas e Nota Fiscal: Qual é o CNPJ emissor e a natureza do serviço?,"**Pergunta:** Qual é o CNPJ emissor e a natureza do serviço?

**Resposta:** Para corrigir dados de faturamento, atualize o cadastro antes do próximo ciclo. Notas emitidas não podem ser alteradas, mas podemos emitir carta de correção quando aplicável.",financeiro
9,Treinamento e Onboarding: Como funciona o onboarding inicial?,"**Pergunta:** Como funciona o onboarding inicial?

**Resposta:** Treinamentos podem ser oferecidos ao vivo (quando contratado) ou via vídeos e artigos na central de ajuda.",sucesso_cliente
10,Integrações: Como revogar um token de integração?,"**Pergunta:** Como revogar um token de integração?

**Resposta:** API pode estar disponível para clientes empresariais. Consulte a documentação e as chaves de acesso.",produto
11,Planos e Upgrade: Como faço upgrade ou downgrade de plano?,"**Pergunta:** Como faço upgrade ou downgrade de plano?

**Resposta:** Upgrade é aplicado imediatamente, com cobrança proporcional do período restante. Downgrade entra em vigor na próxima renovação.",produto
12,Treinamento e Onboarding: Existe central de ajuda com tutoriais?,"**Pergunta:** Existe central de ajuda com tutoriais?

**Resposta:** O onboarding inclui guia inicial, checklist de configuração e recomendações de melhores práticas.",sucesso_cliente
13,Cancelamento: Há multa de cancelamento?,"**Pergunta:** Há multa de cancelamento?

**Resposta:** O cancelamento pode ser feito no painel do cliente em Conta → Assinatura. Ao confirmar, a renovação automática é desativada.",financeiro
